obs_control,obs_case,target_odds,control_case_ratio,case_control_ratio
1,0,2,3.45,NA
2,0,2,5.5,NA
3,0,2,7.55,NA
0,1,2,NA,1.7
0,2,2,NA,2.75
0,3,2,NA,3.8
1,0,2.16,3.6,NA
2,0,2.16,5.75,NA
3,0,2.16,7.9,NA
0,1,2.16,NA,1.65
0,2,2.16,NA,2.65
0,3,2.16,NA,3.65
1,0,2.4,3.8,NA
2,0,2.4,6.05,NA
3,0,2.4,8.35,NA
0,1,2.4,NA,1.6
0,2,2.4,NA,2.55
0,3,2.4,NA,3.5
1,0,3,4.25,NA
2,0,3,6.85,NA
3,0,3,9.45,NA
0,1,3,NA,1.4
0,2,3,NA,2.3
0,3,3,NA,3.15
1,0,3.611366,4.7,NA
2,0,3.611366,7.6,NA
3,0,3.611366,10.5,NA
0,1,3.611366,NA,1.3
0,2,3.611366,NA,2.1
0,3,3.611366,NA,2.9
1,0,3.84,4.9,NA
2,0,3.84,7.9,NA
3,0,3.84,10.9,NA
0,1,3.84,NA,1.25
0,2,3.84,NA,2.05
0,3,3.84,NA,2.8
1,0,4,4.95,NA
2,0,4,8,NA
3,0,4,11.1,NA
0,1,4,NA,1.25
0,2,4,NA,2
0,3,4,NA,2.75
1,0,4.040906,5,NA
2,0,4.040906,8.1,NA
3,0,4.040906,11.2,NA
0,1,4.040906,NA,1.25
0,2,4.040906,NA,2
0,3,4.040906,NA,2.75
1,0,4.3,5.15,NA
2,0,4.3,8.35,NA
3,0,4.3,11.55,NA
0,1,4.3,NA,1.2
0,2,4.3,NA,1.95
0,3,4.3,NA,2.7
1,0,4.344,5.2,NA
2,0,4.344,8.45,NA
3,0,4.344,11.65,NA
0,1,4.344,NA,1.2
0,2,4.344,NA,1.95
0,3,4.344,NA,2.65
1,0,4.3632,5.2,NA
2,0,4.3632,8.45,NA
3,0,4.3632,11.7,NA
0,1,4.3632,NA,1.2
0,2,4.3632,NA,1.95
0,3,4.3632,NA,2.65
1,0,4.94,5.6,NA
2,0,4.94,9.05,NA
3,0,4.94,12.55,NA
0,1,4.94,NA,1.15
0,2,4.94,NA,1.85
0,3,4.94,NA,2.55
1,0,5.26,5.8,NA
2,0,5.26,9.4,NA
3,0,5.26,13.05,NA
